Sum of sales_amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,Grand Total
Action,0.34,14.79,6.5,2.86,1.85,3.52,13.74,1.11,1.74,4.65,6.39,6.76,3.84,1.81,1.55,3.58,20.6,27.59,39.41,27.73,33.98,59.38,86.65,67.98,76.15,85.52,66.49,106.29,136.43,139.44,117.5,119,121.92,125.21,99.01,70.66,19.84,0.01,,1721.82
Adventure,,,,0.4,,,,4.38,,,,2.24,12.24,0.07,3.74,0.71,4.18,4.97,9.04,7.61,2.96,9.14,11.09,2.12,8.45,8.53,11.48,24.44,24.91,20.67,16.59,15.93,5.95,6.61,6.09,8.03,1.79,,,234.36
Fighting,0.77,,,,,1.05,,5.42,,,,0.39,15.23,8.75,8.47,14.84,18.04,11.8,31.68,14.31,20.26,18.1,24.92,23.79,16.76,19.68,22.53,17.63,35.41,32.18,14.88,22.65,9.53,7.23,16.15,7.78,3.85,,,444.08
Misc,2.7,,0.87,2.14,1.45,,,,,1.28,,0.08,4.94,0.3,2.86,6.39,10.66,5.68,11.9,20.68,15.55,16.39,15.63,23.79,26.1,59.69,67.23,91.07,86.91,76.9,96.89,56.07,22.93,25.66,23.73,11.66,1.15,,,789.28
Platform,,6.92,5.03,6.93,0.69,43.17,9.39,1.74,27.73,20.66,22.98,7.63,13.41,18.68,28.76,16.69,28.23,21.86,29.83,20.8,16.05,39.33,45.95,42.82,47.34,23.51,49.7,35.53,35.65,41.06,31.98,28.12,18.54,25.09,8.87,6.05,2.08,,,828.8
Puzzle,,2.25,10.04,0.78,3.14,3.21,,,5.58,37.75,5.99,3.24,4.84,3.17,1.53,2.69,3.92,5.87,6.35,1.34,3.83,7.94,5.33,2.42,8.41,20.41,10.83,23.83,15.53,20.28,11.15,5.1,1.74,1,1.5,0.69,,,,241.68
Racing,,0.48,1.57,,5.95,,1.96,,2.14,,6.25,1.14,9.05,0.36,2.18,6.09,28.27,31.92,27.88,37.19,20,55.83,30.15,52.18,47.89,56.4,34.06,39.1,70.73,34.12,34.93,34.96,14.43,13.02,16.71,7.92,1.67,,,726.53
Role-Playing,,,,,,,2.52,4.65,5.88,2.2,4.52,3.26,6.86,5.59,7.13,14.27,43.99,21.82,28.09,49.09,29.04,22.02,45.14,30.29,53.95,28.51,57.77,43.86,59.69,47.96,70.56,53.32,47.77,44.89,45.88,36.43,6.75,0.04,,923.74
Shooter,7.07,10.02,3.81,0.49,31.1,1,3.89,0.69,0.51,1.19,,1.99,0.28,3.08,8.3,4.15,6.9,22.16,9.8,12.23,6.83,24.81,48.47,27.1,46.92,41.57,38.35,70.99,59.51,69.84,77.44,99.35,72.84,62.73,65.99,66.12,18.17,,,1025.69
Simulation,,0.44,,,,0.04,,,0.03,,1.13,2.15,2.14,0.19,2.72,4.17,11.33,9.64,7.11,11.46,3.37,19.54,10.82,21.21,10.89,49.28,21.73,48.85,46.78,33.55,21.94,15.31,13.37,8.68,5.54,5.61,0.39,,0.29,389.7
Sports,0.5,0.78,1.06,3.2,6.17,1.96,5.58,3.71,3.6,5.72,2.11,2.41,2.95,3.18,8.41,7.99,17.42,30.04,41.75,30.21,41.24,51.47,65.31,55.96,63.61,59.53,136.12,98.24,95.24,138.59,92.52,57.06,30.9,41.54,46.64,41.49,14.63,,,1308.84
Strategy,,,,,,,,,,,,0.94,0.36,0.81,3.57,6.54,5.61,7.72,13.49,18.47,8.52,7.54,5.51,7.95,7.14,5.34,4.23,9.4,11.7,12.51,13.82,8.87,3.33,6.32,0.97,1.82,0.52,,,173
Grand Total,11.38,35.68,28.88,16.8,50.35,53.95,37.08,21.7,47.21,73.45,49.37,32.23,76.14,45.99,79.22,88.11,199.15,201.07,256.33,251.12,201.63,331.49,394.97,357.61,413.61,457.97,520.52,609.23,678.49,667.1,600.2,515.74,363.25,367.98,337.08,264.26,70.84,0.05,0.29,8807.52
